Acari 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	11106 pessoas
São João do Sabugi 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6221 pessoas
São José de Mipibu 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	44566 pessoas
São José do Campestre 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	12901 pessoas
São José do Seridó 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4696 pessoas
São Miguel 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	23789 pessoas
São Miguel do Gostoso 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10441 pessoas
São Paulo do Potengi 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	17858 pessoas
São Pedro 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5889 pessoas
São Rafael 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	8183 pessoas
São Tomé 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	11051 pessoas
São Vicente 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6476 pessoas
Senador Elói de Souza 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6167 pessoas
Senador Georgino Avelino 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4527 pessoas
Serra Caiada 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10646 pessoas
Serra de São Bento 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5739 pessoas
Serra do Mel 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	12225 pessoas
Serra Negra do Norte 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	8105 pessoas
Serrinha 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6128 pessoas
Serrinha dos Pintos 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4832 pessoas
Severiano Melo 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	1743 pessoas
Sítio Novo 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5600 pessoas
Taboleiro Grande 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2606 pessoas
Taipu 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	12314 pessoas
Tangará 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	16008 pessoas
Tenente Ananias 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10923 pessoas
Tenente Laurentino Cruz 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6085 pessoas
Tibau 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4173 pessoas
Tibau do Sul 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	14694 pessoas
Timbaúba dos Batistas 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2427 pessoas
Touros 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	33716 pessoas
Triunfo Potiguar 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3195 pessoas
Umarizal 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10485 pessoas
Upanema 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	14937 pessoas
Várzea 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5529 pessoas
Venha-Ver 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4232 pessoas
Vera Cruz 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	12789 pessoas
Viçosa 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	1731 pessoas
Vila Flor 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3217 pessoas

